monto,plazo_meses,sexo,educacion,edo_civil,edad,saldo,default
20000,40,mujer,secundaria,casado,24,8393,1
120000,60,mujer,secundaria,divorciado,26,22077,1
90000,36,mujer,secundaria,divorciado,34,112671,0
50000,29,mujer,secundaria,casado,37,239722,0
50000,34,hombre,secundaria,casado,57,168388,0
50000,31,hombre,primaria,divorciado,37,245886,0
500000,36,hombre,primaria,divorciado,29,2905354,0
100000,55,mujer,secundaria,divorciado,23,18277,0
140000,13,mujer,universitaria,casado,28,71973,0
20000,14,hombre,universitaria,divorciado,35,41048,0
200000,24,mujer,universitaria,divorciado,34,40939,0
260000,24,mujer,primaria,divorciado,51,154677,0
630000,19,mujer,secundaria,divorciado,41,64377,0
70000,13,hombre,secundaria,divorciado,30,349385,1
250000,27,hombre,primaria,divorciado,29,391591,0
50000,24,mujer,universitaria,viudo,23,202616,0
20000,34,hombre,primaria,divorciado,24,112511,1
320000,29,hombre,primaria,casado,49,1327911,0
360000,46,mujer,primaria,casado,49,0,0
180000,35,mujer,primaria,divorciado,29,0,0
130000,32,mujer,universitaria,divorciado,39,166114,0
120000,12,mujer,secundaria,casado,39,3476,1
70000,21,mujer,secundaria,divorciado,26,276485,1
450000,41,mujer,primaria,casado,40,49554,1
90000,60,hombre,primaria,divorciado,23,48264,0
50000,27,hombre,universitaria,divorciado,23,222186,0
60000,12,hombre,primaria,divorciado,27,2106,1
50000,60,mujer,universitaria,divorciado,30,119380,0
50000,42,mujer,universitaria,casado,47,79775,0
50000,14,hombre,primaria,divorciado,26,103682,0
230000,43,mujer,primaria,divorciado,27,211235,0
50000,51,hombre,secundaria,divorciado,33,158803,1
100000,55,hombre,primaria,divorciado,32,513981,0
500000,36,mujer,secundaria,casado,54,284246,0
500000,39,hombre,primaria,casado,58,103743,0
160000,26,hombre,primaria,divorciado,30,27592,0
280000,22,hombre,secundaria,casado,40,1111900,0
60000,26,mujer,secundaria,divorciado,22,85628,0
50000,57,hombre,primaria,divorciado,25,1560,1
280000,53,hombre,primaria,divorciado,31,89000,0
360000,52,hombre,primaria,divorciado,33,1894591,0
70000,31,mujer,primaria,divorciado,25,412198,0
10000,20,hombre,secundaria,divorciado,22,29988,0
140000,15,mujer,secundaria,casado,37,405134,0
40000,37,mujer,primaria,divorciado,30,160185,0
210000,44,hombre,primaria,divorciado,29,0,1
20000,22,mujer,primaria,divorciado,22,99403,1
150000,57,mujer,maestria,divorciado,46,12020,1
380000,37,hombre,secundaria,divorciado,32,208147,0
20000,33,hombre,primaria,divorciado,24,122056,0
70000,50,hombre,universitaria,divorciado,42,237112,1
100000,43,mujer,universitaria,viudo,43,274791,0
310000,21,mujer,secundaria,casado,49,74793,0
180000,38,mujer,primaria,divorciado,25,269397,0
150000,44,mujer,primaria,divorciado,29,189618,0
500000,59,mujer,primaria,casado,45,14871,0
180000,25,mujer,universitaria,casado,34,84583,0
180000,36,mujer,secundaria,casado,34,986424,0
200000,32,mujer,primaria,divorciado,34,8647,0
400000,23,mujer,secundaria,casado,29,2393169,0
500000,44,mujer,universitaria,casado,28,118515,1
70000,19,hombre,secundaria,casado,39,256362,0
50000,54,hombre,primaria,divorciado,29,163799,1
50000,52,mujer,secundaria,casado,46,58884,1
130000,52,mujer,secundaria,casado,51,4805,0
